1º 🦩 01 - Avestruz atrasado há 17 dias, , no milhar
2º 🐐 06 - Cabra atrasado há 16 dias, , no milhar
3º 🐍 09 - Cobra atrasado há 12 dias, , no milhar
4º 🦚 19 - Pavão atrasado há 11 dias, , no milhar
5º 🐻 23 - Urso atrasado há 10 dias, , no milhar
6º 🐘 12 - Elefante atrasado há 9 dias, , no milhar
7º 🐓 13 - Galo atrasado há 9 dias, , no milhar
8º 🦅 02 - Águia atrasado há 8 dias, , no milhar
9º 🐈 14 - Gato atrasado há 8 dias, , no milhar
10º 🐖 18 - Porco atrasado há 7 dias, , no milhar
11º 🦋 04 - Borboleta atrasado há 7 dias, , no milhar
12º 🦌 24 - Veado atrasado há 6 dias, , no milhar
13º 🐂 21 - Touro atrasado há 5 dias, , no milhar
14º 🐒 17 - Macaco atrasado há 4 dias, , no milhar
15º 🐕 05 - Cachorro atrasado há 3 dias, , no milhar
16º 🐊 15 - Jacaré atrasado há 3 dias, , no milhar
17º 🐪 08 - Camelo atrasado há 3 dias, , no milhar
18º 🦙 03 - Burro atrasado há 2 dias, , no milhar
19º 🐅 22 - Tigre atrasado há 2 dias, , no milhar
20º 🐑 07 - Carneiro atrasado há 2 dias, , no milhar
21º 🐎 11 - Cavalo atrasado há 2 dias, , no milhar
22º 🦃 20 - Peru atrasado há 2 dias, , no milhar
23º 🦁 16 - Leão atrasado há 2 dias, , no milhar
24º 🐇 10 - Coelho saiu ontem, , no milhar
25º 🐄 25 - Vaca saiu ontem, , no milhar
